name,category,unit,calories,protein_g,carbs_g,fat_g,fibre_g,allergen_tags,source,source_code,data_confidence
"Sorghum, whole grain, white, dry, raw",Grains,100g,372.59,10.08,73.57,4.22,8.27,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710842,measured
"Soy milk, sweetened, plain, refrigerated",Legumes,100g,40.7,2.78,3.0,1.96,0.0,"Dairy, Soy",USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2257044,measured
"Soy milk, unsweetened, plain, shelf stable",Legumes,100g,38.48,3.55,1.29,2.12,0.0,"Dairy, Soy",USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750337,measured
"Spinach, baby",Vegetables,100g,26.6,2.85,2.41,0.62,1.56,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750352,measured
"Spinach, mature",Vegetables,100g,27.63,2.91,2.64,0.6,1.59,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750353,measured
"Squash, summer, green, zucchini, includes skin, raw",Vegetables,100g,19.0,0.98,3.27,0.2,0.75,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685568,measured
"Squash, summer, yellow, includes skin, raw",Vegetables,100g,22.0,0.89,4.39,0.14,0.96,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685569,measured
"Squash, winter, acorn, raw",Vegetables,100g,48.56,1.25,10.48,0.18,2.64,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685571,measured
"Squash, winter, butternut, raw",Vegetables,100g,48.13,1.15,10.51,0.17,1.96,Dairy,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685570,measured
"Strawberries, raw",Fruits,100g,31.0,0.64,7.63,0.22,1.8,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_327699,measured
"Sweet potatoes, orange flesh, without skin, raw",Vegetables,100g,79.0,1.58,17.33,0.38,4.44,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2346404,measured
"Tomato, paste, canned, without salt added",Vegetables,100g,104.28,4.23,20.19,0.73,4.7,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685580,measured
"Tomato, puree, canned",Vegetables,100g,40.84,1.58,8.04,0.26,1.97,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685582,measured
"Tomato, roma",Vegetables,100g,21.96,0.7,3.84,0.42,0.97,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750354,measured
"Tomato, sauce, canned, with salt added",Vegetables,100g,34.18,1.35,6.33,0.38,1.64,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685579,measured
"Tomatoes, crushed, canned",Vegetables,100g,37.88,1.44,7.14,0.4,1.94,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685581,measured
"Tomatoes, grape, raw",Vegetables,100g,27.0,0.83,5.51,0.63,2.1,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_321360,measured
"Tomatoes, whole, canned, solids and liquids, with salt added",Vegetables,100g,22.48,0.87,4.29,0.21,0.87,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685578,measured
"Turnips, raw",Vegetables,100g,33.98,0.95,7.27,0.12,1.92,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747674,measured
"Watermelon, seedless, rind only, raw",Fruits,100g,19.42,0.53,4.17,0.07,1.54,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747676,measured
"Wild rice, dry, raw",Grains,100g,369.16,12.79,75.67,1.7,4.26,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710821,measured
"Yogurt, Greek, strawberry, nonfat",Dairy,100g,83.0,8.06,12.2,0.15,0.6,Dairy,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_330415,measured
